"mu","sigma","d","S","N","mu_est","sigma_est","d_est"
2,3.775,7.5,100,10,1.99991328476909,3.77497502423013,7.4999464853007
-2,5,7.5,100,10,-2.00031960896744,4.99980024439535,7.49970036659302
-1,5,7.5,100,10,-1.07878928996364,5.00849129723129,8.3519821572118
0,5,7.5,100,10,3.21574189537387e-06,4.99999839212905,7.50002974561253
1,5,7.5,100,10,1,5,7.5
2,5,7.5,100,10,2,5,7.5
-2,0.1,8.75,100,10,9.98958488716358,10,20.3574299398135
-1,0.1,8.75,100,10,-0.999999999513179,0.100000000438139,8.74999999961276
0,0.1,8.75,100,10,-0.000199404163082752,0.099995169065405,8.75097127762865
1,0.1,8.75,100,10,1.00297131769882,0.101969285755513,8.80796372708373
2,0.1,8.75,100,10,2,0.1,8.75
-2,1.325,8.75,100,10,-1.99968248393515,1.32496494093451,8.74976847786938
-1,1.325,8.75,100,10,-0.99999999787647,1.32499999969841,8.74999999863205
0,1.325,8.75,100,10,0.00401500545836087,1.32848301723513,8.78663692480754
1,1.325,8.75,100,10,1.01187530500715,1.30967820715449,9.01323094183071
2,1.325,8.75,100,10,2.00003540168512,1.3249941365959,8.7499612794069
-2,2.55,8.75,100,10,-2,2.55,8.75
-1,2.55,8.75,100,10,-0.999592512901373,2.54990553708168,8.74967586253518
0,2.55,8.75,100,10,0.0898265324922989,2.52709423400558,9.56966710523097
1,2.55,8.75,100,10,0.999993129449733,2.54999861186079,8.75001589183309
2,2.55,8.75,100,10,1.99999978383222,2.54999994686797,8.74999983664639
-2,3.775,8.75,100,10,-2.00050263201758,3.77514842650752,8.74973442043295
-1,3.775,8.75,100,10,-1,3.775,8.75
0,3.775,8.75,100,10,-0.0350907160400108,3.80134241483402,9.09476483531496
1,3.775,8.75,100,10,0.999994242031827,3.77500325848653,8.74999541979804
2,3.775,8.75,100,10,1.99909396302959,3.7763328862408,8.76348927751985
-2,5,8.75,100,10,-2.00001086514096,5.0000067907131,8.74998811625207
-1,5,8.75,100,10,-0.919139489968256,4.94723371662222,9.06660821633427
0,5,8.75,100,10,-0.000157825227530602,5.00008837766613,8.74985567992509
1,5,8.75,100,10,1.00037951144981,4.99977400100867,8.74962140657275
2,5,8.75,100,10,1.96082546433434,4.98367727680598,9.04788969829093
-2,0.1,10,100,10,10,9.99992541106509,18.0059736718954
-1,0.1,10,100,10,-1,0.100000000000001,10
0,0.1,10,100,10,-0.0310853743968605,0.029874548532802,10.2360962820443
1,0.1,10,100,10,1.00102553296332,0.100016698032049,9.99893178408917
2,0.1,10,100,10,1.96353317297194,0.0994444577463335,10.4999880282999
-2,1.325,10,100,10,-2.17109798064501,1.29666189695567,11.9248522822563
-1,1.325,10,100,10,-0.999992173178018,1.32500616035297,9.99999287938992
0,1.325,10,100,10,4.15975142610452e-05,1.32499448832936,9.99995840248574
1,1.325,10,100,10,1,1.325,10
2,1.325,10,100,10,1.94910552077301,1.36179246727451,10.3817085942025
-2,2.55,10,100,10,-1.99974843723846,2.54994654293722,9.99979036435259
-1,2.55,10,100,10,-1.00023902934197,2.54993227501978,9.99973441184225
0,2.55,10,100,10,2.1220918942074e-08,2.5500000158096,9.99999997877908
1,2.55,10,100,10,1.00000000713584,2.54999999797818,9.99999999207129
2,2.55,10,100,10,1.88595873692618,2.52576623159681,10.8553094730537
-2,3.775,10,100,10,-2,3.775,10
-1,3.775,10,100,10,-1,3.775,10
0,3.775,10,100,10,0.113179391894003,3.93383668946078,9.67493983862387
1,3.775,10,100,10,1.0024823206445,3.77395880439634,10.024823206445
2,3.775,10,100,10,2.00028990303967,3.77522558080274,9.99963762120042
-2,5,10,100,10,-1.9998602801893,4.99994177411191,9.99988468403052
-1,5,10,100,10,-1.001091467615,5.00032356479238,9.99939374534951
0,5,10,100,10,-0.000297661756051336,4.99968195586109,9.99972184577767
1,5,10,100,10,0.914028251757341,5.17043430714226,10.4611582393684
2,5,10,100,10,1.85536071321771,4.55265556913994,9.56390038160894
-2,0.1,5,10,100,-2,0.1,5
-1,0.1,5,10,100,-0.99999911817565,0.099999991983415,4.99999959917075
0,0.1,5,10,100,-6.35825116720938e-12,0.0999999999999364,4.99999999999682
1,0.1,5,10,100,0.999994507687052,0.0999999500698823,5.00004743361183
2,0.1,5,10,100,1.99999872615403,0.100001050922924,4.99999946923085
-2,1.325,5,10,100,-0.672044926170231,1.25699019299056,15.8190749729582
-1,1.325,5,10,100,-1,1.325,5
0,1.325,5,10,100,0.000229563126243746,1.3251992193366,4.99988971768659
1,1.325,5,10,100,1.00002313005871,1.32499659474136,5.00024415061974
2,1.325,5,10,100,1.99999988698772,1.32500013252468,4.99999996686008
-2,2.55,5,10,100,-1.85302465159209,2.5018782077342,6.13342253069839
-1,2.55,5,10,100,-0.99248382466111,2.54640273464806,5.03761867461167
0,2.55,5,10,100,-0.311585111971163,2.04564618005812,5.32046883803076
1,2.55,5,10,100,1,2.55,5
2,2.55,5,10,100,1.99999339308593,2.54999859603076,4.99999724711914
-2,3.775,5,10,100,-2,3.775,5
-1,3.775,5,10,100,-1,3.775,5
0,3.775,5,10,100,0,3.775,5
1,3.775,5,10,100,1,3.775,5
2,3.775,5,10,100,2,3.775,5
-2,5,5,10,100,-2,5,5
-1,5,5,10,100,-1,5,5
0,5,5,10,100,0,5,5
1,5,5,10,100,1,5,5
2,5,5,10,100,2,5,5
-2,0.1,6.25,10,100,-2,0.1,6.25
-1,0.1,6.25,10,100,-0.320121076014714,0.180445343639609,7.77426655595077
0,0.1,6.25,10,100,0,0.1,6.25
1,0.1,6.25,10,100,1.00000008479657,0.0999999990578159,6.24999994111349
2,0.1,6.25,10,100,1.99999803958218,0.100001617344704,6.24999897894905
-2,1.325,6.25,10,100,-2.01265420445302,1.32692048265675,6.41066784558839
-1,1.325,6.25,10,100,-1.00013310205023,1.32498056455001,6.24986124844769
0,1.325,6.25,10,100,-2.70636831968107e-05,1.32502347774517,6.249983085198
