"","ld2","Var1","Var2","Var3"
"131",110.302154148852,0.1,0.4,5.25
"132",120.662868721951,0.2,0.4,5.25
"133",127.933179238818,0.3,0.4,5.25
"134",133.193772570021,0.4,0.4,5.25
"135",136.956958846739,0.5,0.4,5.25
"136",139.523694780426,0.6,0.4,5.25
"137",141.092110098868,0.7,0.4,5.25
"138",141.802328404038,0.8,0.4,5.25
"139",141.758426647253,0.9,0.4,5.25
"140",141.04037181497,1,0.4,5.25
"141",110.707619256961,0.1,0.6,5.25
"142",121.06833383006,0.2,0.6,5.25
"143",128.338644346926,0.3,0.6,5.25
"144",133.599237678129,0.4,0.6,5.25
"145",137.362423954847,0.5,0.6,5.25
"146",139.929159888534,0.6,0.6,5.25
"147",141.497575206976,0.7,0.6,5.25
"148",142.207793512146,0.8,0.6,5.25
"149",142.163891755361,0.9,0.6,5.25
"150",141.445836923079,1,0.6,5.25
"151",110.995301329412,0.1,0.8,5.25
"152",121.356015902511,0.2,0.8,5.25
"153",128.626326419378,0.3,0.8,5.25
"154",133.886919750581,0.4,0.8,5.25
"155",137.650106027299,0.5,0.8,5.25
"156",140.216841960986,0.6,0.8,5.25
"157",141.785257279428,0.7,0.8,5.25
"158",142.495475584598,0.8,0.8,5.25
"159",142.451573827813,0.9,0.8,5.25
"160",141.73351899553,1,0.8,5.25
"161",111.218444880727,0.1,1,5.25
"162",121.579159453826,0.2,1,5.25
"163",128.849469970692,0.3,1,5.25
"164",134.110063301895,0.4,1,5.25
"165",137.873249578613,0.5,1,5.25
"166",140.4399855123,0.6,1,5.25
"167",142.008400830742,0.7,1,5.25
"168",142.718619135912,0.8,1,5.25
"169",142.674717379127,0.9,1,5.25
"170",141.956662546844,1,1,5.25
"171",111.400766437521,0.1,1.2,5.25
"172",121.761481010619,0.2,1.2,5.25
"173",129.031791527486,0.3,1.2,5.25
"174",134.292384858689,0.4,1.2,5.25
"175",138.055571135407,0.5,1.2,5.25
"176",140.622307069094,0.6,1.2,5.25
"177",142.190722387536,0.7,1.2,5.25
"178",142.900940692706,0.8,1.2,5.25
"179",142.857038935921,0.9,1.2,5.25
"180",142.138984103638,1,1.2,5.25
"181",111.554917117348,0.1,1.4,5.25
"182",121.915631690447,0.2,1.4,5.25
"183",129.185942207313,0.3,1.4,5.25
"184",134.446535538516,0.4,1.4,5.25
"185",138.209721815234,0.5,1.4,5.25
"186",140.776457748921,0.6,1.4,5.25
"187",142.344873067363,0.7,1.4,5.25
"188",143.055091372533,0.8,1.4,5.25
"189",143.011189615749,0.9,1.4,5.25
"190",142.293134783466,1,1.4,5.25
"191",111.688448509972,0.1,1.6,5.25
"192",122.049163083071,0.2,1.6,5.25
"193",129.319473599938,0.3,1.6,5.25
