"","ld","Var1","Var2","Var3"
"65",-27.3179087282507,0.9,-1,5
"66",-27.4845917280666,1,-1,5
"67",-26.278122005251,0,-0.8,5
"68",-26.2906266948492,0.1,-0.8,5
"69",-26.3242754092592,0.2,-0.8,5
"70",-26.3903372311679,0.3,-0.8,5
"71",-26.4650282780568,0.4,-0.8,5
"72",-26.5779503959062,0.5,-0.8,5
"73",-26.7108687435089,0.6,-0.8,5
"74",-26.861135574169,0.7,-0.8,5
"75",-27.0150965776932,0.8,-0.8,5
"76",-27.192213910001,0.9,-0.8,5
"77",-27.5810492536072,1,-0.8,5
"78",-26.2717431864946,0,-0.6,5
"79",-26.2825101623893,0.1,-0.6,5
"80",-26.3173150180942,0.2,-0.6,5
"81",-26.3740151078124,0.3,-0.6,5
"82",-26.4698287380481,0.4,-0.6,5
"83",-26.5637456996676,0.5,-0.6,5
"84",-26.6942540910464,0.6,-0.6,5
"85",-26.8563893039005,0.7,-0.6,5
"86",-27.0234922623763,0.8,-0.6,5
"87",-27.234383239079,0.9,-0.6,5
"88",-27.4401734971215,1,-0.6,5
"89",-26.2673812345867,0,-0.4,5
"90",-26.278383094426,0.1,-0.4,5
"91",-26.3135260082108,0.2,-0.4,5
"92",-26.3718763035969,0.3,-0.4,5
"93",-26.4685330193885,0.4,-0.4,5
"94",-26.5621925093141,0.5,-0.4,5
"95",-26.7132441494776,0.6,-0.4,5
"96",-26.8522344829382,0.7,-0.4,5
"97",-27.0461920940804,0.8,-0.4,5
"98",-27.2517239093259,0.9,-0.4,5
"99",-27.5230924073893,1,-0.4,5
"100",-26.2648696836613,0,-0.2,5
"101",-26.2767477151755,0.1,-0.2,5
"102",-26.3129284589022,0.2,-0.2,5
"103",-26.369831717752,0.3,-0.2,5
"104",-26.4548392978812,0.4,-0.2,5
"105",-26.560548782518,0.5,-0.2,5
"106",-26.6854086255189,0.6,-0.2,5
"107",-26.8402703523065,0.7,-0.2,5
"108",-27.0337716251281,0.8,-0.2,5
"109",-27.2847440851815,0.9,-0.2,5
"110",-27.4942899044507,1,-0.2,5
"111",-26.264062120617,0,0,5
"112",-26.2762346982564,0.1,0,5
"113",-26.3150488074786,0.2,0,5
"114",-26.3736258180511,0.3,0,5
"115",-26.4547165388135,0.4,0,5
"116",-26.5557953177979,0.5,0,5
"117",-26.7032911620657,0.6,0,5
"118",-26.8412497575947,0.7,0,5
"119",-27.0381253061932,0.8,0,5
"120",-27.2183060160953,0.9,0,5
"121",-27.5075886738157,1,0,5
"122",-26.2648290889241,0,0.2,5
"123",-26.276488106176,0.1,0.2,5
"124",-26.3115261898352,0.2,0.2,5
"125",-26.3706699490406,0.3,0.2,5
"126",-26.4722934279019,0.4,0.2,5
"127",-26.5647147630243,0.5,0.2,5
"128",-26.7106208979526,0.6,0.2,5
"129",-26.8963228161349,0.7,0.2,5
"130",-27.0385970811151,0.8,0.2,5
"131",-27.2562179223997,0.9,0.2,5
"132",-27.5029665392813,1,0.2,5
"133",-26.2670555678639,0,0.4,5
"134",-26.2787074585089,0.1,0.4,5
"135",-26.3151298292513,0.2,0.4,5
"136",-26.3712548552703,0.3,0.4,5
"137",-26.4614108835474,0.4,0.4,5
"138",-26.5584569039854,0.5,0.4,5
"139",-26.7108173233518,0.6,0.4,5
"140",-26.8547649912893,0.7,0.4,5
"141",-27.0224172205893,0.8,0.4,5
"142",-27.2718688077489,0.9,0.4,5
"143",-27.4887448359653,1,0.4,5
"144",-26.2706389034538,0,0.6,5
"145",-26.2826495672448,0.1,0.6,5
"146",-26.3166706217975,0.2,0.6,5
"147",-26.375404693546,0.3,0.6,5
"148",-26.4579977182669,0.4,0.6,5
"149",-26.5918590292481,0.5,0.6,5
"150",-26.693946671151,0.6,0.6,5
"151",-26.8708387423713,0.7,0.6,5
"152",-27.0240818828394,0.8,0.6,5
"153",-27.2821899389916,0.9,0.6,5
"154",-27.4767938641793,1,0.6,5
"155",-26.2754870972839,0,0.8,5
"156",-26.2880303868828,0.1,0.8,5
"157",-26.3198110920218,0.2,0.8,5
"158",-26.3848180060645,0.3,0.8,5
"159",-26.4641409095587,0.4,0.8,5
"160",-26.5870252594787,0.5,0.8,5
"161",-26.7064356832584,0.6,0.8,5
"162",-26.8539677245127,0.7,0.8,5
"163",-27.001419727861,0.8,0.8,5
"164",-27.2423308039704,0.9,0.8,5
"165",-27.4577272134294,1,0.8,5
"166",-26.2815173814503,0,1,5
"167",-26.2945950432523,0.1,1,5
"168",-26.3252275387334,0.2,1,5
"169",-26.3900195363335,0.3,1,5
"170",-26.4697174832852,0.4,1,5
"171",-26.5699861773242,0.5,1,5
"172",-26.6933399502355,0.6,1,5
"173",-26.8725244191081,0.7,1,5
"174",-27.0583540332504,0.8,1,5
"175",-27.3222446068027,0.9,1,5
"176",-27.459897519287,1,1,5
"177",-26.2886550240363,0,1.2,5
"178",-26.3009413156751,0.1,1.2,5
"179",-26.3350718598673,0.2,1.2,5
"180",-26.3935902839257,0.3,1.2,5
"181",-26.4682544011675,0.4,1.2,5
"182",-26.5827344202205,0.5,1.2,5
"183",-26.7273195991718,0.6,1.2,5
"184",-26.8631721007143,0.7,1.2,5
"185",-27.1113512323222,0.8,1.2,5
"186",-27.3277382409653,0.9,1.2,5
"187",-27.4902485256395,1,1.2,5
"188",-26.2968323217826,0,1.4,5
"189",-26.307651040834,0.1,1.4,5
"190",-26.3447408251123,0.2,1.4,5
"191",-26.4041635549537,0.3,1.4,5
"192",-26.485189509057,0.4,1.4,5
"193",-26.602374145903,0.5,1.4,5
"194",-26.7544050122372,0.6,1.4,5
"195",-26.8937129292104,0.7,1.4,5
"196",-27.0470224166458,0.8,1.4,5
"197",-27.2812272639689,0.9,1.4,5
"198",-27.5845172519362,1,1.4,5
"199",-26.3059877458138,0,1.6,5
"200",-26.3171107681582,0.1,1.6,5
"201",-26.3491843429633,0.2,1.6,5
"202",-26.4172514472333,0.3,1.6,5
"203",-26.4926479257446,0.4,1.6,5
