"","ld2","Var1","Var2","Var3"
"70",139.472513642235,0.6,0.7,5
"71",139.760195714687,0.8,0.7,5
"72",139.983339266001,1,0.7,5
"73",140.165660822795,1.2,0.7,5
"74",140.319811502622,1.4,0.7,5
"75",140.453342895247,1.6,0.7,5
"76",140.571125930903,1.8,0.7,5
"77",140.676486446561,2,0.7,5
"78",140.400450624546,0,0.8,5
"79",138.791012712112,0.2,0.8,5
"80",139.484159892672,0.4,0.8,5
"81",139.88962500078,0.6,0.8,5
"82",140.177307073232,0.8,0.8,5
"83",140.400450624546,1,0.8,5
"84",140.58277218134,1.2,0.8,5
"85",140.736922861167,1.4,0.8,5
"86",140.870454253792,1.6,0.8,5
"87",140.988237289448,1.8,0.8,5
"88",141.093597805106,2,0.8,5
"89",140.061644966578,0,0.9,5
"90",138.452207054144,0.2,0.9,5
"91",139.145354234704,0.4,0.9,5
"92",139.550819342812,0.6,0.9,5
"93",139.838501415264,0.8,0.9,5
"94",140.061644966578,1,0.9,5
"95",140.243966523372,1.2,0.9,5
"96",140.398117203199,1.4,0.9,5
"97",140.531648595824,1.6,0.9,5
"98",140.64943163148,1.8,0.9,5
"99",140.754792147138,2,0.9,5
"100",139.046659202807,0,1,5
"101",137.437221290373,0.2,1,5
"102",138.130368470933,0.4,1,5
"103",138.535833579041,0.6,1,5
"104",138.823515651493,0.8,1,5
"105",139.046659202807,1,1,5
"106",139.228980759601,1.2,1,5
"107",139.383131439429,1.4,1,5
"108",139.516662832053,1.6,1,5
"109",139.63444586771,1.8,1,5
"110",139.739806383367,2,1,5
"111",111.218444880727,0,0.1,5.25
"112",109.609006968293,0.2,0.1,5.25
"113",110.302154148852,0.4,0.1,5.25
"114",110.707619256961,0.6,0.1,5.25
"115",110.995301329412,0.8,0.1,5.25
"116",111.218444880727,1,0.1,5.25
"117",111.400766437521,1.2,0.1,5.25
"118",111.554917117348,1.4,0.1,5.25
"119",111.688448509972,1.6,0.1,5.25
"120",111.806231545629,1.8,0.1,5.25
"121",111.911592061287,2,0.1,5.25
"122",121.579159453826,0,0.2,5.25
"123",119.969721541391,0.2,0.2,5.25
"124",120.662868721951,0.4,0.2,5.25
"125",121.06833383006,0.6,0.2,5.25
"126",121.356015902511,0.8,0.2,5.25
"127",121.579159453826,1,0.2,5.25
"128",121.761481010619,1.2,0.2,5.25
"129",121.915631690447,1.4,0.2,5.25
"130",122.049163083071,1.6,0.2,5.25
"131",122.166946118728,1.8,0.2,5.25
"132",122.272306634385,2,0.2,5.25
"133",128.849469970692,0,0.3,5.25
"134",127.240032058258,0.2,0.3,5.25
"135",127.933179238818,0.4,0.3,5.25
"136",128.338644346926,0.6,0.3,5.25
"137",128.626326419378,0.8,0.3,5.25
"138",128.849469970692,1,0.3,5.25
"139",129.031791527486,1.2,0.3,5.25
"140",129.185942207313,1.4,0.3,5.25
"141",129.319473599938,1.6,0.3,5.25
"142",129.437256635594,1.8,0.3,5.25
"143",129.542617151252,2,0.3,5.25
"144",134.110063301895,0,0.4,5.25
"145",132.500625389461,0.2,0.4,5.25
"146",133.193772570021,0.4,0.4,5.25
"147",133.599237678129,0.6,0.4,5.25
"148",133.886919750581,0.8,0.4,5.25
"149",134.110063301895,1,0.4,5.25
"150",134.292384858689,1.2,0.4,5.25
"151",134.446535538516,1.4,0.4,5.25
"152",134.580066931141,1.6,0.4,5.25
"153",134.697849966797,1.8,0.4,5.25
"154",134.803210482455,2,0.4,5.25
"155",137.873249578613,0,0.5,5.25
"156",136.263811666179,0.2,0.5,5.25
"157",136.956958846739,0.4,0.5,5.25
"158",137.362423954847,0.6,0.5,5.25
"159",137.650106027299,0.8,0.5,5.25
"160",137.873249578613,1,0.5,5.25
"161",138.055571135407,1.2,0.5,5.25
"162",138.209721815234,1.4,0.5,5.25
"163",138.343253207859,1.6,0.5,5.25
