"","ld","Var1","Var2","Var3"
"102",-26.4719532057693,1.4,0.4,5
"103",-26.4996185660345,1.6,0.4,5
"104",-26.5206254522257,1.8,0.4,5
"105",-26.5108688045392,2,0.4,5
"106",-26.6802808545501,-2,0.5,5
"107",-26.6259431383578,-1.8,0.5,5
"108",-26.6391408309569,-1.6,0.5,5
"109",-26.602864773394,-1.4,0.5,5
"110",-26.5892356938901,-1.2,0.5,5
"111",-26.5812587786988,-1,0.5,5
"112",-26.5899208183065,-0.8,0.5,5
"113",-26.5914098634733,-0.6,0.5,5
"114",-26.5718937414879,-0.4,0.5,5
"115",-26.5676306640847,-0.2,0.5,5
"116",-26.5650225279363,0,0.5,5
"117",-26.5613272929754,0.2,0.5,5
"118",-26.5626535050717,0.4,0.5,5
"119",-26.5712849830808,0.6,0.5,5
"120",-26.5827788696019,0.8,0.5,5
"121",-26.5811199926498,1,0.5,5
"122",-26.5886967589597,1.2,0.5,5
"123",-26.6002664225603,1.4,0.5,5
"124",-26.580335642911,1.6,0.5,5
"125",-26.6269186985606,1.8,0.5,5
"126",-26.6225761926131,2,0.5,5
"127",-26.8026135678533,-2,0.6,5
"128",-26.777894440282,-1.8,0.6,5
"129",-26.740452104432,-1.6,0.6,5
"130",-26.705762857075,-1.4,0.6,5
"131",-26.7378749314965,-1.2,0.6,5
"132",-26.7313998400187,-1,0.6,5
"133",-26.7112925197112,-0.8,0.6,5
"134",-26.6908897088569,-0.6,0.6,5
"135",-26.6911510489519,-0.4,0.6,5
"136",-26.7033895129481,-0.2,0.6,5
"137",-26.6963589536143,0,0.6,5
"138",-26.7109987467767,0.2,0.6,5
"139",-26.6666025551736,0.4,0.6,5
"140",-26.6943182257232,0.6,0.6,5
"141",-26.7233261201424,0.8,0.6,5
"142",-26.7064003535385,1,0.6,5
"143",-26.6931633348109,1.2,0.6,5
"144",-26.7267876377037,1.4,0.6,5
"145",-26.7450054796578,1.6,0.6,5
"146",-26.7177834740449,1.8,0.6,5
"147",-26.7678848815884,2,0.6,5
"148",-26.9425509834005,-2,0.7,5
"149",-26.9447926810311,-1.8,0.7,5
"150",-26.9198213952864,-1.6,0.7,5
"151",-26.906934900976,-1.4,0.7,5
"152",-26.9097021368155,-1.2,0.7,5
"153",-26.8673729867748,-1,0.7,5
"154",-26.8871755258786,-0.8,0.7,5
"155",-26.8861395486246,-0.6,0.7,5
"156",-26.8281863911476,-0.4,0.7,5
"157",-26.8286341049486,-0.2,0.7,5
"158",-26.8882334416311,0,0.7,5
"159",-26.8724285654638,0.2,0.7,5
"160",-26.8535013713826,0.4,0.7,5
"161",-26.8753715713873,0.6,0.7,5
"162",-26.8889281826839,0.8,0.7,5
"163",-26.8904745819253,1,0.7,5
"164",-26.9017136246573,1.2,0.7,5
"165",-26.8667064298413,1.4,0.7,5
"166",-26.852462766373,1.6,0.7,5
"167",-26.8482368904525,1.8,0.7,5
"168",-26.9048083842031,2,0.7,5
"169",-27.2377722695358,-2,0.8,5
"170",-27.1799972957024,-1.8,0.8,5
"171",-27.1162399647204,-1.6,0.8,5
"172",-27.100509562513,-1.4,0.8,5
"173",-27.0370510013117,-1.2,0.8,5
"174",-27.0354480085001,-1,0.8,5
"175",-27.0238172905934,-0.8,0.8,5
"176",-27.0496243115152,-0.6,0.8,5
"177",-27.0532730105607,-0.4,0.8,5
"178",-26.9996898708588,-0.2,0.8,5
"179",-27.0642583869148,0,0.8,5
"180",-27.0410609158587,0.2,0.8,5
"181",-27.0430849648613,0.4,0.8,5
"182",-27.0729269616408,0.6,0.8,5
"183",-27.0960873916465,0.8,0.8,5
"184",-27.0291866341433,1,0.8,5
"185",-27.0666400977612,1.2,0.8,5
"186",-27.0134141090634,1.4,0.8,5
"187",-27.1083623729446,1.6,0.8,5
"188",-27.0610428709566,1.8,0.8,5
"189",-27.068967086346,2,0.8,5
"190",-27.3645283930235,-2,0.9,5
"191",-27.3239303021664,-1.8,0.9,5
"192",-27.2986473500296,-1.6,0.9,5
"193",-27.217903871022,-1.4,0.9,5
"194",-27.244572496116,-1.2,0.9,5
"195",-27.2950848645868,-1,0.9,5
"196",-27.273184944404,-0.8,0.9,5
"197",-27.2395284886904,-0.6,0.9,5
"198",-27.2713605673149,-0.4,0.9,5
"199",-27.2305534932987,-0.2,0.9,5
"200",-27.2522711414122,0,0.9,5
"201",-27.2984104314675,0.2,0.9,5
"202",-27.2683249882879,0.4,0.9,5
"203",-27.2549651274482,0.6,0.9,5
"204",-27.2765577443634,0.8,0.9,5
"205",-27.2764799147017,1,0.9,5
"206",-27.2960813941895,1.2,0.9,5
"207",-27.2776611123349,1.4,0.9,5
"208",-27.2774268127939,1.6,0.9,5
"209",-27.3159121933751,1.8,0.9,5
"210",-27.3310089450576,2,0.9,5
"211",-27.5828097532766,-2,1,5
"212",-27.5930871313806,-1.8,1,5
