"","ld","Var1","Var2","Var3"
"104",136.627939229836,9.75,-1.2,0
"105",138.147424513765,10,-1.2,0
"106",96.5436288203482,5,-1,0
"107",99.4732943127813,5.25,-1,0
"108",102.2664292348,5.5,-1,0
"109",104.9352058059,5.75,-1,0
"110",107.490236073063,6,-1,0
"111",109.940827940265,6.25,-1,0
"112",112.295190681188,6.5,-1,0
"113",114.560601458234,6.75,-1,0
"114",116.743541412267,7,-1,0
"115",118.849807767657,7.25,-1,0
"116",120.884606857317,7.5,-1,0
"117",122.852631839689,7.75,-1,0
"118",124.758128036596,8,-1,0
"119",126.604948186794,8.25,-1,0
"120",128.396599428195,8.5,-1,0
"121",130.136283452324,8.75,-1,0
"122",131.826930988722,9,-1,0
"123",133.471231554183,9.25,-1,0
"124",135.071659226582,9.5,-1,0
"125",136.630495064455,9.75,-1,0
"126",138.149846683098,10,-1,0
"127",96.5522148614121,5,-0.8,0
"128",99.481003707402,5.25,-0.8,0
"129",102.273390026519,5.5,-0.8,0
"130",104.941522208626,5.75,-0.8,0
"131",107.495993778465,6,-0.8,0
"132",109.946098064766,6.25,-0.8,0
"133",112.300032743347,6.5,-0.8,0
"134",114.56506565386,6.75,-0.8,0
"135",116.747670373472,7,-0.8,0
"136",118.853637937603,7.25,-0.8,0
"137",120.88816957529,7.5,-0.8,0
"138",122.855954205361,7.75,-0.8,0
"139",124.761233604245,8,-0.8,0
"140",126.607857527303,8.25,-0.8,0
"141",128.399330587338,8.5,-0.8,0
"142",130.138852327017,8.75,-0.8,0
"143",131.82935163789,9,-0.8,0
"144",133.47351645714,9.25,-0.8,0
"145",135.073819498982,9.5,-0.8,0
"146",136.632540639733,9.75,-0.8,0
"147",138.151786465673,10,-0.8,0
"148",96.5585936801684,5,-0.6,0
"149",99.486746026365,5.25,-0.6,0
"150",102.278586708531,5.5,-0.6,0
"151",104.946247587254,5.75,-0.6,0
"152",107.500309257138,6,-0.6,0
"153",109.950054813824,6.25,-0.6,0
"154",112.303673748426,6.5,-0.6,0
"155",114.568427290783,6.75,-0.6,0
"156",116.750783632676,7,-0.6,0
"157",118.856529385918,7.25,-0.6,0
"158",120.890862118566,7.5,-0.6,0
"159",122.858467698485,7.75,-0.6,0
"160",124.763585343044,8,-0.6,0
"161",126.610062648193,8.25,-0.6,0
"162",128.401402394311,8.5,-0.6,0
"163",130.140802560926,8.75,-0.6,0
"164",131.831190699579,9,-0.6,0
"165",133.475253593402,9.25,-0.6,0
"166",135.075462958363,9.5,-0.6,0
"167",136.634097803761,9.75,-0.6,0
"168",138.153263959898,10,-0.6,0
"169",96.5629556320763,5,-0.4,0
"170",99.4906819576424,5.25,-0.4,0
"171",102.282156161703,5.5,-0.4,0
"172",104.949499497019,5.75,-0.4,0
"173",107.50328421309,6,-0.4,0
"174",109.952786767419,6.25,-0.4,0
"175",112.306191317271,6.5,-0.4,0
"176",114.570754766896,6.75,-0.4,0
"177",116.752941770295,7,-0.4,0
"178",118.858536023119,7.25,-0.4,0
"179",120.892732672229,7.5,-0.4,0
"180",122.86021556172,7.75,-0.4,0
"181",124.765222206806,8,-0.4,0
"182",126.611598763436,8.25,-0.4,0
"183",128.40284678713,8.5,-0.4,0
"184",130.142163210233,8.75,-0.4,0
"185",131.832474684723,9,-0.4,0
"186",133.476467217489,9.25,-0.4,0
"187",135.076611851836,9.5,-0.4,0
"188",136.635187011811,9.75,-0.4,0
"189",138.154298016598,10,-0.4,0
"190",96.5654671830017,5,-0.2,0
"191",99.4929530414819,5.25,-0.2,0
"192",102.284219740253,5.5,-0.2,0
"193",104.951382770314,5.75,-0.2,0
"194",107.505009825778,6,-0.2,0
"195",109.954373724193,6.25,-0.2,0
"196",112.30765568605,6.5,-0.2,0
"197",114.572110225044,6.75,-0.2,0
"198",116.754200033293,7,-0.2,0
"199",118.85970718418,7.25,-0.2,0
"200",120.893825473721,7.5,-0.2,0
"201",122.861237613854,7.75,-0.2,0
"202",124.766180165173,8,-0.2,0
"203",126.612498474147,8.25,-0.2,0
"204",128.403693406257,8.5,-0.2,0
"205",130.142961302705,8.75,-0.2,0
"206",131.833228306689,9,-0.2,0
"207",133.477179985282,9.25,-0.2,0
"208",135.077287000012,9.5,-0.2,0
"209",136.63582744224,9.75,-0.2,0
"210",138.154906340164,10,-0.2,0
"211",96.5662747460461,5,0,0
"212",99.493684596212,5.25,0,0
"213",102.284885534305,5.5,0,0
"214",104.951991288556,5.75,0,0
"215",107.505568153683,6,0,0
"216",109.954887824899,6.25,0,0
"217",112.308130614096,6.5,0,0
"218",114.572550293066,6.75,0,0
"219",116.754608943319,7,0,0
"220",118.860088131995,7.25,0,0
"221",120.894181232536,7.5,0,0
"222",122.861570601915,7.75,0,0
"223",124.76649250079,8,0,0
"224",126.612792020795,8.25,0,0
"225",128.403969809776,8.5,0,0
"226",130.143222022171,8.75,0,0
"227",131.833474640173,9,0,0
"228",133.47741309146,9.25,0,0
"229",135.07750791639,9.5,0,0
"230",136.636037100585,9.75,0,0
"231",138.155105579643,10,0,0
"232",96.5655077777389,5,0.2,0
"233",99.4929881057114,5.25,0.2,0
"234",102.28425023476,5.5,0.2,0
"235",104.951409455963,5.75,0.2,0
"236",107.505033311431,6,0.2,0
"237",109.954394501745,6.25,0.2,0
"238",112.307674156389,6.5,0.2,0
"239",114.572126717535,6.75,0.2,0
"240",116.75421482056,7,0.2,0
"241",118.859720493445,7.25,0.2,0
"242",120.893837495582,7.5,0.2,0
"243",122.861248509149,7.75,0.2,0
"244",124.766190070386,8,0.2,0
"245",126.612507505703,8.25,0.2,0
"246",128.403701663955,8.5,0.2,0
"247",130.142968872494,8.75,0.2,0
"248",131.833235262907,9,0.2,0
"249",133.47718639249,9.25,0.2,0
"250",135.0772929145,9.5,0.2,0
"251",136.635832913262,9.75,0.2,0
"252",138.15491141097,10,0.2,0
"253",96.5632812987991,5,0.4,0
"254",99.4909631831995,5.25,0.4,0
"255",102.282400681521,5.5,0.4,0
"256",104.949713433446,5.75,0.4,0
"257",107.503472462934,6,0.4,0
"258",109.952953285042,6.25,0.4,0
"259",112.306339324203,6.5,0.4,0
"260",114.570886908999,6.75,0.4,0
"261",116.753060236957,7,0.4,0
"262",118.858642638615,7.25,0.4,0
"263",120.892828966433,7.5,0.4,0
"264",122.86030282534,7.75,0.4,0
"265",124.765301534892,8,0.4,0
"266",126.61167108993,8.25,0.4,0
"267",128.402912912495,8.5,0.4,0
"268",130.142223823711,8.75,0.4,0
"269",131.832530382381,9,0.4,0
"270",133.476518516935,9.25,0.4,0
"271",135.076659204295,9.5,0.4,0
"272",136.635230812088,9.75,0.4,0
"273",138.154338611336,10,0.4,0
"274",96.5596979632092,5,0.6,0
"275",99.4876991984843,5.25,0.6,0
"276",102.279415157487,5.5,0.6,0
"277",104.946972178006,5.75,0.6,0
"278",107.500946664029,6,0.6,0
"279",109.950618492133,6.25,0.6,0
"280",112.304174652788,6.5,0.6,0
"281",114.568874413155,6.75,0.6,0
"282",116.751184409905,7,0.6,0
"283",118.856890011822,7.25,0.6,0
"284",120.891187785289,7.5,0.6,0
"285",122.858762784867,7.75,0.6,0
"286",124.763853562909,8,0.6,0
"287",126.610307168011,8.25,0.6,0
"288",128.401625927261,8.5,0.6,0
"289",130.14100744262,8.75,0.6,0
"290",131.831378949424,9,0.6,0
"291",133.475426964626,9.25,0.6,0
"292",135.075622979054,9.5,0.6,0
"293",136.634245810692,9.75,0.6,0
"294",138.153401126581,10,0.6,0
"295",96.5548497693792,5,0.8,0
"296",99.483276635593,5.25,0.8,0
"297",102.275364476805,5.5,0.8,0
