"","ld2","Var1","Var2","Var3"
"116",2.01251800648159,7.5,-1,0
"117",2.04539033772391,7.75,-1,0
"118",2.07721601846943,8,-1,0
"119",2.10805967148859,8.25,-1,0
"120",2.1379801111137,8.5,-1,0
"121",2.16703101941945,8.75,-1,0
"122",2.19526152674195,9,-1,0
"123",2.22271671233804,9.25,-1,0
"124",2.24943803802132,9.5,-1,0
"125",2.27546372526575,9.75,-1,0
"126",2.30082908439975,10,-1,0
"127",1.60653202264835,5,-0.8,0
"128",1.65547267692978,5.25,-0.8,0
"129",1.70212833251305,5.5,-0.8,0
"130",1.74670298350545,5.75,-0.8,0
"131",1.78937445516738,6,-0.8,0
"132",1.83029869949709,6.25,-0.8,0
"133",1.86961324353391,6.5,-0.8,0
"134",1.90743998346232,6.75,-0.8,0
"135",1.94388746810524,7,-0.8,0
"136",1.97905277989893,7.25,-0.8,0
"137",2.01302309563984,7.5,-0.8,0
"138",2.04587699030211,7.75,-0.8,0
"139",2.07768553308554,8,-0.8,0
"140",2.108513214214,8.25,-0.8,0
"141",2.13841873291899,8.5,-0.8,0
"142",2.16745567084113,8.75,-0.8,0
"143",2.19567307028512,9,-0.8,0
"144",2.22311593302175,9.25,-0.8,0
"145",2.24982565239073,9.5,-0.8,0
"146",2.27584038913104,9.75,-0.8,0
"147",2.30119539951173,10,-0.8,0
"148",1.60730735624227,5,-0.6,0
"149",1.65620539565346,5.25,-0.6,0
"150",1.70282287745306,5.5,-0.6,0
"151",1.74736313580703,5.75,-0.6,0
"152",1.79000346063376,6,-0.6,0
"153",1.83089936510514,6.25,-0.6,0
"154",1.87018801313509,6.5,-0.6,0
"155",1.90799099783334,6.75,-0.6,0
"156",1.94441661307715,7,-0.6,0
"157",1.9795617252966,7.25,-0.6,0
"158",2.01351332705995,7.5,-0.6,0
"159",2.04634983525427,7.75,-0.6,0
"160",2.07814218265534,8,-0.6,0
"161",2.10895474113812,8.25,-0.6,0
"162",2.13884610676255,8.5,-0.6,0
"163",2.16786977081758,8.75,-0.6,0
"164",2.19607469614477,9,-0.6,0
"165",2.22350581434799,9.25,-0.6,0
"166",2.25020445657536,9.5,-0.6,0
"167",2.27620872824772,9.75,-0.6,0
"168",2.30155383626541,10,-0.6,0
"169",1.60804821895178,5,-0.4,0
"170",1.65690725374263,5.25,-0.4,0
"171",1.70348963302996,5.5,-0.4,0
"172",1.74799813324424,5.75,-0.4,0
"173",1.79060958803661,6,-0.4,0
"174",1.83147913370657,6.25,-0.4,0
"175",1.87074362013955,6.5,-0.4,0
"176",1.90852437668477,6.75,-0.4,0
"177",1.94492947405493,7,-0.4,0
"178",1.98005558859004,7.25,-0.4,0
