"","x"
"377",-23.3853398816885
"378",-23.4405797469792
"379",-23.5139046999278
"380",-23.6040789844402
"381",-23.724380539534
"382",-23.9058620331287
"383",-24.0219371187064
"384",-24.1936713537532
"385",-24.5032922739155
"386",-23.34706023107
"387",-23.3583949223505
"388",-23.3901758755511
"389",-23.4447957870676
"390",-23.5162254013583
"391",-23.6351010427483
"392",-23.7119811941034
"393",-23.8908326542382
"394",-24.0218173201452
"395",-24.2218255905523
"396",-24.4428442693927
"397",-23.3525686339876
"398",-23.3633558290717
"399",-23.3938979755456
"400",-23.4460299981078
"401",-23.5216606354516
"402",-23.6091618451595
"403",-23.7351590650909
"404",-23.9059583707447
"405",-24.083208534119
"406",-24.2653468215759
"407",-24.5659615720092
"408",-23.3590969218804
"409",-23.3692604852076
"410",-23.4039932450764
"411",-23.4580981255461
"412",-23.5268536081325
"413",-23.6402163523018
"414",-23.7504828318436
"415",-23.9064972819295
"416",-24.0469492098021
"417",-24.2399830383285
"418",-24.4286555840396
"419",-23.3665851051077
"420",-23.3784913926934
"421",-23.4072374973712
"422",-23.4621422311958
"423",-23.5408784547614
"424",-23.6440456151149
"425",-23.742052046682
"426",-23.8679915454307
"427",-24.0701088652816
"428",-24.266790078045
"429",-24.5362194165855
"430",-23.3749784613686
"431",-23.3866316040979
"432",-23.4142529334831
"433",-23.4634481493783
"434",-23.5500650193461
"435",-23.6512117126875
"436",-23.7537429762015
"437",-23.929779737833
"438",-24.1542391188399
"439",-24.2535741998724
"440",-24.471514316722
"441",-23.384226936847
"442",-23.3928079138567
"443",-23.4257467296784
"444",-23.4773353142218
"445",-23.5533310139844
"446",-23.6446438850222
"447",-23.7749986932751
"448",-23.9313902032974
"449",-24.1173813134293
"450",-24.2951178989273
"451",-24.4750723637299
"452",-23.3942846301175
"453",-23.4039872201829
"454",-23.4375470876533
"455",-23.491822043495
"456",-23.5682892121773
"457",-23.6681028873729
"458",-23.7755367211224
"459",-23.9182818367232
"460",-24.1233727304172
"461",-24.2723731178753
"462",-24.593993172438
"463",-20.6314611592442
"464",-20.6436055602658
"465",-20.6705085832402
"466",-20.7142850040698
"467",-20.7918411285207
"468",-20.8724435730504
"469",-21.0143251209791
"470",-21.0886463059271
"471",-21.2851306262484
"472",-21.4601946628398
"473",-21.6856392351683
"474",-20.6128475164869
"475",-20.6211760266814
"476",-20.649208041114
"477",-20.6927120212323
"478",-20.7632503532984
"479",-20.8554077724995
"480",-20.9650163226731
"481",-21.0656303993486
"482",-21.2319471623909
"483",-21.3966719078464
"484",-21.613274627341
"485",-20.5970391758044
"486",-20.6060785611424
"487",-20.6339813065404
"488",-20.683164039684
"489",-20.7540487443382
"490",-20.8394241462215
"491",-20.9795602383215
"492",-21.0508444344128
"493",-21.2392040717687
"494",-21.3547330210058
"495",-21.5837044513874
"496",-20.5837639454754
"497",-20.5918879771941
"498",-20.6224183623731
"499",-20.6705022615594
"500",-20.7313062736363
"501",-20.8294226577295
"502",-20.9571305804366
"503",-21.059632633516
"504",-21.2519910043622
"505",-21.4089111478789
"506",-21.5785954113777
"507",-20.5727877073558
"508",-20.5841467577331
"509",-20.6133737942685
"510",-20.664389454949
"511",-20.7246782716207
"512",-20.8319915217958
"513",-20.9190776517473
"514",-21.0520542047768
"515",-21.2360852682477
"516",-21.4327579342615
"517",-21.5336530908376
"518",-20.5639076318626
"519",-20.5743634742093
"520",-20.607213721463
"521",-20.6543383357141
"522",-20.7164759317883
"523",-20.8226787874219
"524",-20.913816722028
"525",-21.0191898080742
"526",-21.1923517258296
"527",-21.3289636621561
"528",-21.5916698780966
"529",-20.556946840144
"530",-20.5682865637032
"531",-20.5955747918867
"532",-20.6430536137571
"533",-20.7122070516504
"534",-20.7965849559508
"535",-20.9298128214305
"536",-21.0580621417979
"537",-21.2239373754125
"538",-21.3258526122165
"539",-21.5794095219834
"540",-20.551750158132
"541",-20.5610005029478
"542",-20.5925498568629
"543",-20.6420369622126
"544",-20.7138759929463
"545",-20.8005341021165
"546",-20.9092006077361
"547",-21.0398038829807
"548",-21.2003836607201
"549",-21.3804393691504
"550",-21.5427006462124
"551",-20.5481807049601
"552",-20.5580216796434
"553",-20.587594986492
"554",-20.6331538914258
"555",-20.7003359467066
"556",-20.7973932262408
"557",-20.9006202708789
"558",-21.0236545081857
"559",-21.1423221391843
"560",-21.4182899298789
"561",-21.5321999445519
"562",-20.5461171264097
"563",-20.55568565145
"564",-20.5861635436625
"565",-20.6362109713103
"566",-20.7041951583476
"567",-20.7835795639993
"568",-20.9145435946577
"569",-21.0040339915586
"570",-21.1862276545705
"571",-21.3290929984363
"572",-21.5509232461267
"573",-20.5454513323575
"574",-20.5550458443152
"575",-20.5837135521832
"576",-20.6343120848169
"577",-20.7026544199969
"578",-20.7912306343576
"579",-20.9186093250745
"580",-21.0076789449981
"581",-21.2113901480528
"582",-21.4016238657679
"583",-21.5431584148316
"584",-20.5460866319032
"585",-20.5564670643687
"586",-20.5870715667018
"587",-20.6366779312164
"588",-20.7041588280813
"589",-20.7786207794178
"590",-20.9254683385704
"591",-21.0045362593043
"592",-21.1600374835576
"593",-21.4112956985739
"594",-21.5704585625572
"595",-20.5479361851419
"596",-20.5575047326655
"597",-20.5854827111085
"598",-20.6348060663862
"599",-20.7074173298938
"600",-20.7857508910552
"601",-20.9044176594499
"602",-21.0246519704163
"603",-21.1887910922754
"604",-21.3539386841809
"605",-21.5430364122797
"606",-20.5509217091763
"607",-20.5604401083979
"608",-20.5890971473523
"609",-20.6361198690527
"610",-20.7065484940492
"611",-20.7995343639183
"612",-20.9191285626385
"613",-21.0169983157028
"614",-21.1868240941983
"615",-21.3640800513352
"616",-21.5588356434231
"617",-20.5549723898578
"618",-20.5644984392465
"619",-20.594551543916
"620",-20.6427362077234
"621",-20.7058042873122
"622",-20.8157151362489
"623",-20.9280265407938
"624",-21.0512325269059
"625",-21.1585825038349
"626",-21.3449644490144
"627",-21.5912557556614
"628",-20.5600239612137
"629",-20.5694352189137
"630",-20.6003828415727
"631",-20.6526582339665
"632",-20.7194274958279
"633",-20.7982783355082
"634",-20.9303427740204
"635",-21.0500570987163
"636",-21.2258810776407
"637",-21.3481041778175
"638",-21.6212428119759
"639",-20.566017922479
"640",-20.5763887056795
"641",-20.6055434084309
