"","x"
"605",-20.9115517726312
"606",-20.9319132483673
"607",-20.9280069122989
"608",-20.9441696229062
"609",-20.9698046674139
"610",-21.1302135645871
"611",-21.0827061713808
"612",-21.0803492677577
"613",-21.0770929326039
"614",-21.0558664497216
"615",-21.0313208587261
"616",-21.0549646535305
"617",-20.9946289757454
"618",-21.0516438742652
"619",-21.0421980927466
"620",-21.044411403481
"621",-21.0174492590202
"622",-21.0219891125701
"623",-21.0334485068079
"624",-21.0477330373008
"625",-21.0378589572043
"626",-21.0435891987814
"627",-21.0768062062981
"628",-21.0699724127866
"629",-21.040670435963
"630",-21.066391730909
"631",-21.2858058635347
"632",-21.2165024831314
"633",-21.2328373767291
"634",-21.1863858803844
"635",-21.2095070055674
"636",-21.177599944382
"637",-21.2255205084392
"638",-21.1671016236567
"639",-21.1990451857223
"640",-21.192857053415
"641",-21.2032448669187
"642",-21.1958357942069
"643",-21.1877996670957
"644",-21.2083451484041
"645",-21.1758737834274
"646",-21.1665544380446
"647",-21.2177169634425
"648",-21.2315687771893
"649",-21.2412181983137
"650",-21.2297613162906
"651",-21.2367797411977
"652",-21.4013063943073
"653",-21.3978942037625
"654",-21.4179920241935
"655",-21.4049510311711
"656",-21.355060250839
"657",-21.3972855748736
"658",-21.3575432798177
"659",-21.3288224342832
"660",-21.3993615283663
"661",-21.3327242019308
"662",-21.3440913967901
"663",-21.3962236301619
"664",-21.3481828082534
"665",-21.3105829930605
"666",-21.4177466866953
"667",-21.4346280882931
"668",-21.370700948918
"669",-21.4019477673356
"670",-21.4084150838096
"671",-21.3890594448721
"672",-21.4412675876567
"673",-21.7018315171723
"674",-21.6283825322734
"675",-21.6577205115954
"676",-21.5887335031066
"677",-21.6264374112426
"678",-21.6081018056696
"679",-21.5897719673888
"680",-21.6171515596856
"681",-21.5005087793004
"682",-21.5255543290101
"683",-21.606145764587
"684",-21.5956777060481
"685",-21.5773770958156
"686",-21.5952122973377
"687",-21.4956904137146
"688",-21.5754600345122
"689",-21.547692353758
"690",-21.6154643749328
"691",-21.5765893857994
"692",-21.5730671047768
"693",-21.584883066463
"694",-17.955898565643
"695",-17.9392377689938
"696",-17.9250412979183
"697",-17.9130841183106
"698",-17.9031709110764
"699",-17.8951310607635
"700",-17.8888146580369
"701",-17.8840892794093
"702",-17.8808373696436
"703",-17.8789540963493
"704",-17.8783455781075
"705",-17.8789274107005
"706",-17.8806234332174
"707",-17.8833646886569
"708",-17.8870885433579
"709",-17.8917379369974
"710",-17.897260740589
"711",-17.9036092043423
"712",-17.9107394806994
"713",-17.9186112105906
"714",-17.9271871631124
"715",-17.9624911989508
"716",-17.9480676151268
"717",-17.936715249509
"718",-17.9219423830818
"719",-17.9118860331499
"720",-17.9034516148608
"721",-17.8980201527834
"722",-17.8930742169496
"723",-17.8899108507697
"724",-17.8881259960557
"725",-17.8874569508265
"726",-17.8877343348967
"727",-17.8896583752817
"728",-17.8916418405557
"729",-17.8962421486707
"730",-17.9012435289946
"731",-17.9056823900439
"732",-17.9138702495355
"733",-17.9194195436282
"734",-17.9283541813732
"735",-17.9366121027856
"736",-17.9963426005352
"737",-17.9776088372847
"738",-17.9569271257279
"739",-17.9463431059084
"740",-17.9382127070623
"741",-17.9343349064649
"742",-17.9239147516188
"743",-17.9230022283341
"744",-17.9143973029878
"745",-17.9139920244747
"746",-17.9124034669601
"747",-17.9143522368854
"748",-17.9190842388894
"749",-17.9170825897982
"750",-17.9222810546846
"751",-17.9275430395866
"752",-17.933652869545
"753",-17.9403778995818
"754",-17.9452378487357
"755",-17.9560815625395
"756",-17.9638514063587
"757",-18.0242163804709
"758",-18.0203029028184
"759",-18.0049687809306
"760",-18.000301489108
"761",-17.9859733582127
"762",-17.9751053578477
"763",-17.9656738127434
"764",-17.965134634914
"765",-17.9646735697871
"766",-17.9516464422563
"767",-17.9598447127336
"768",-17.9611714773967
"769",-17.9629529218294
"770",-17.9667713790155
"771",-17.9680768460551
"772",-17.971170139036
"773",-17.979004279205
"774",-17.9879992769902
"775",-17.9900086870425
"776",-18.0010140739415
"777",-18.0042866180417
"778",-18.0869779502096
"779",-18.0816750174798
"780",-18.0753914775922
"781",-18.0457832277839
"782",-18.0388582224533
"783",-18.0475689590922
"784",-18.0368446984793
"785",-18.0223773564991
"786",-18.027351407554
"787",-18.0236384782774
"788",-18.0292487123607
"789",-18.0289534648628
"790",-18.0209025745032
"791",-18.0236053414389
"792",-18.0333416213044
"793",-18.0260101533617
"794",-18.0414755978671
"795",-18.0529406928708
"796",-18.0627803418797
"797",-18.0661673460771
"798",-18.0791699604171
"799",-18.1828236861676
"800",-18.1667620833261
"801",-18.155706204638
"802",-18.1343450769545
"803",-18.1287661088208
"804",-18.1043955823781
"805",-18.113574070671
"806",-18.1049308986734
"807",-18.1090489028504
"808",-18.102372116972
"809",-18.1014665355572
"810",-18.1285393868916
"811",-18.1043810027321
"812",-18.1097550045998
"813",-18.1144386822759
"814",-18.1079590422447
"815",-18.1156279577202
"816",-18.1161683570782
"817",-18.1354991447278
"818",-18.13836076257
"819",-18.1482364550338
"820",-18.2560537210434
"821",-18.2806346320997
"822",-18.2613827992518
"823",-18.2633365384101
"824",-18.2219583305529
"825",-18.2177315422678
"826",-18.2255978299604
"827",-18.2134931649724
"828",-18.1947505013646
"829",-18.201409595567
"830",-18.1914359808669
"831",-18.2023230491333
"832",-18.1857580925045
"833",-18.2138511118075
"834",-18.2119173961995
"835",-18.2203092548399
"836",-18.2283472450356
"837",-18.2362181010972
"838",-18.2382320844055
"839",-18.2521759088824
"840",-18.2518125567581
"841",-18.4533727536496
"842",-18.3943552269579
"843",-18.3714061122539
"844",-18.367485556286
"845",-18.3539878184374
"846",-18.3313957670055
"847",-18.3418788753374
"848",-18.3304978619796
"849",-18.3157155331134
"850",-18.3281305363658
"851",-18.314925188552
"852",-18.3244733970436
"853",-18.3057075616363
"854",-18.305916571768
"855",-18.3291874478458
"856",-18.3507904300521
"857",-18.3281298125132
"858",-18.3687589133793
"859",-18.3691083848892
"860",-18.345397605031
"861",-18.3881131832747
"862",-18.52210303153
"863",-18.5160745510318
"864",-18.5146661855359
"865",-18.5285383205023
"866",-18.5135880298593
"867",-18.4834990454351
"868",-18.468662245743
"869",-18.4374887981918
